Date : 2025-06-08 21:38:57
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 332 files,  2722909 codes, 9189 comments, 23798 blanks, all 2755896 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\package.xml                                                 | XML              |         15 |          0 |          4 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\src\merger.cpp                                              | C++              |        117 |          0 |         33 |        150 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\obstacle_msgs\CMakeLists.txt                                       | CMake            |         27 |          0 |          6 |         33 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\obstacle_msgs\package.xml                                          | XML              |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\CMakeLists.txt                                       | CMake            |         39 |          0 |          8 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\arduino\arduino.ino                                  | C++              |         48 |          0 |         13 |         61 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\include\serial_bridge\bridge.h                       | C++              |         49 |          0 |         13 |         62 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\package.xml                                          | XML              |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\src\bridge.cpp                                       | C++              |         84 |          0 |         16 |        100 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\Activate.ps1                                                              | PowerShell       |        108 |        360 |         35 |        503 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\activate.bat                                                              | Batch            |         24 |          1 |         10 |         35 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\deactivate.bat                                                            | Batch            |         16 |          0 |          7 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\fixup_pubsub_v1_keywords.py                                               | Python           |        156 |         34 |         24 |        214 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\pywin32_postinstall.py                                                    | Python           |        583 |        104 |         97 |        784 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Scripts\pywin32_testall.py                                                        | Python           |         91 |         13 |         21 |        125 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\credentials.json                                                    | JSON             |         13 |          0 |          0 |         13 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\100529591481232043303token.json                              | JSON             |         22 |          0 |          0 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\105125872991741815222token.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\106358438524995564112token.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\110298044136430036008token.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\112830785527648003046token.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\113770400483189126309token.json                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\test_token.json                                              | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\OAuth\tokens\token.json                                                   | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\Tiboard\__init__.py                                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\Tiboard\asgi.py                                                           | Python           |          4 |          8 |          5 |         17 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\Tiboard\settings.py                                                       | Python           |        116 |         31 |         45 |        192 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\Tiboard\urls.py                                                           | Python           |         12 |         16 |          4 |         32 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\Tiboard\wsgi.py                                                           | Python           |          4 |          8 |          5 |         17 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\admin.py                                                       | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\apps.py                                                        | Python           |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\forms.py                                                       | Python           |         12 |          0 |          2 |         14 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\migrations\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\models.py                                                      | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\tests.py                                                       | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\urls.py                                                        | Python           |          9 |          0 |          2 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\dash_board\views.py                                                       | Python           |        103 |         11 |         34 |        148 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\db.sqlite3                                                                | Database         |      1,128 |          0 |         92 |      1,220 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\delete_db_taeble.py                                                       | Python           |          9 |          2 |          3 |         14 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\delete_taskboard.py                                                       | Python           |         21 |          5 |          7 |         33 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\functions\classroom.py                                                    | Python           |         40 |          0 |         11 |         51 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\functions\context_processors.py                                           | Python           |         20 |          0 |          1 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\functions\database.py                                                     | Python           |         97 |          0 |         13 |        110 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\functions\function.py                                                     | Python           |         87 |         21 |         15 |        123 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\manage.py                                                                 | Python           |         15 |          3 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\mockup_score.html                                                         | HTML             |         66 |          5 |          7 |         78 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\not_in_use\GCAPItest.py                                                   | Python           |        107 |        106 |         22 |        235 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\not_in_use\for_update_data.py                                             | Python           |        157 |          8 |         37 |        202 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\admin.py                                                   | Python           |          5 |          0 |          2 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\apps.py                                                    | Python           |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\forms.py                                                   | Python           |          6 |          0 |          2 |          8 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\management\commands\create_threads.py                      | Python           |         13 |          0 |          3 |         16 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\migrations\0001_initial.py                                 | Python           |         38 |          1 |          7 |         46 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\migrations\0002_alter_post_author.py                       | Python           |         15 |          1 |          6 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\migrations\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\models.py                                                  | Python           |         28 |          0 |          9 |         37 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\templatetags\__init__.py                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\templatetags\custom_filters.py                             | Python           |          8 |          1 |          2 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\tests.py                                                   | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\urls.py                                                    | Python           |         11 |          0 |          1 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\question_board\views.py                                                   | Python           |         90 |          6 |         18 |        114 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\requirements.txt                                                          | pip requirements |        173 |          0 |          0 |        173 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score.css                                                                 | PostCSS          |         82 |          2 |         13 |         97 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score.js                                                                  | JavaScript       |         71 |          8 |         14 |         93 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\__init__.py                                                   | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\admin.py                                                      | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\apps.py                                                       | Python           |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\migrations\__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\models.py                                                     | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\tests.py                                                      | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\urls.py                                                       | Python           |          6 |          0 |          1 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\score_board\views.py                                                      | Python           |         11 |          1 |          4 |         16 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\base\script.js                                                     | JavaScript       |         39 |          7 |          8 |         54 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\base\script2.js                                                    | JavaScript       |          0 |          5 |          1 |          6 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\base\styles.css                                                    | PostCSS          |        257 |          6 |         54 |        317 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\manifest.json                                                      | JSON             |         29 |          0 |          0 |         29 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\question_board\styles.css                                          | PostCSS          |        388 |         15 |         73 |        476 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\question_board\thread_detail_part2.js                              | JavaScript       |        276 |         20 |         61 |        357 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\question_board\thread_detail_script.js                             | JavaScript       |        265 |         17 |         70 |        352 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\question_board\thread_detail_script2.js                            | JavaScript       |        277 |         22 |         59 |        358 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\task_board\data.js                                                 | JavaScript       |         32 |          0 |          8 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\task_board\index_script.js                                         | JavaScript       |        422 |         40 |         97 |        559 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\task_board\index_styles.css                                        | PostCSS          |        125 |          0 |         23 |        148 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\common_script.js                                      | JavaScript       |         13 |          2 |          4 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\common_style.css                                      | PostCSS          |         14 |          0 |          1 |         15 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\sidebar_func.css                                      | PostCSS          |         31 |          0 |          5 |         36 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\sidebar_func.js                                       | JavaScript       |         84 |          9 |         21 |        114 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\taskbar_func.css                                      | PostCSS          |        140 |          0 |         26 |        166 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\taskbar_func.js                                       | JavaScript       |        315 |         23 |         70 |        408 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\test.css                                              | PostCSS          |         10 |          0 |          2 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\thread_func.css                                       | PostCSS          |         48 |          9 |          9 |         66 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\thread_func.js                                        | JavaScript       |         47 |         23 |         12 |         82 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\timetable_func.css                                    | PostCSS          |        142 |          5 |         23 |        170 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\static\widgets_test\timetable_func.js                                     | JavaScript       |        331 |         28 |         78 |        437 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\__init__.py                                                    | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\admin.py                                                       | Python           |          7 |          0 |          3 |         10 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\apps.py                                                        | Python           |          8 |          0 |          4 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\migrations\0001_initial.py                                     | Python           |         72 |          1 |          7 |         80 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\migrations\0002_rename_course_id_coursework_course_and_more.py | Python           |         30 |          1 |          6 |         37 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\migrations\__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\models.py                                                      | Python           |         48 |          0 |         21 |         69 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\signals.py                                                     | Python           |         16 |          0 |          6 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\tests.py                                                       | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\update.py                                                      | Python           |          5 |          8 |          7 |         20 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\urls.py                                                        | Python           |         11 |          0 |          1 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\utils.py                                                       | Python           |         18 |          0 |          1 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\task_board\views.py                                                       | Python           |         21 |          0 |          5 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\base.html                                                       | HTML             |         69 |          0 |         10 |         79 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\base_old.html                                                   | HTML             |        106 |          0 |         10 |        116 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\dash_board\frontpage.html                                       | HTML             |         15 |          0 |          7 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\dash_board\login.html                                           | HTML             |         78 |          0 |         11 |         89 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\header.html                                                     | HTML             |         40 |          0 |          7 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\home.html                                                       | HTML             |         17 |          0 |          6 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\menu-button.html                                                | HTML             |         19 |          2 |          2 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\mypage\index.html                                               | HTML             |          4 |          0 |          1 |          5 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\question_board\index.html                                       | HTML             |         61 |         24 |         16 |        101 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\question_board\thread_detail.html                               | HTML             |        107 |          0 |         25 |        132 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\score_board\index.html                                          | HTML             |         38 |          0 |          9 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\task_board\index.html                                           | HTML             |         43 |          0 |          7 |         50 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\templates\widgets_test\index.html                                         | HTML             |         33 |          0 |          7 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\test.html                                                                 | HTML             |         71 |          0 |         14 |         85 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\__init__.py                                                  | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\admin.py                                                     | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\apps.py                                                      | Python           |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\migrations\__init__.py                                       | Python           |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\models.py                                                    | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\tests.py                                                     | Python           |          1 |          1 |          2 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\urls.py                                                      | Python           |          6 |          0 |          2 |          8 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\Tiboard\widgets_test\views.py                                                     | Python           |          6 |          1 |          5 |         12 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\pyvenv.cfg                                                                        | Properties       |          5 |          0 |          1 |          6 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\share\jupyter\kernels\python3\kernel.json                                         | JSON             |         14 |          0 |          0 |         14 |
| c:\Users\sd23097\Desktop\Tirobot_works\Project_Tiboard\share\jupyter\kernels\python3\logo-svg.svg                                        | XML              |        263 |          1 |          2 |        266 |
| c:\Users\sd23097\Desktop\Tirobot_works\README.md                                                                                         | Markdown         |          3 |          0 |          0 |          3 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\BunaiRobocon\ルール.md                                                                      | Markdown         |         39 |          0 |          8 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\README.md                                                                          | Markdown         |         11 |          0 |          3 |         14 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\main.ino                                                                      | C++              |         51 |          4 |         19 |         74 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\myBLEController.cpp                                                           | C++              |         86 |          1 |         29 |        116 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\myBLEController.h                                                             | C++              |         28 |         10 |         13 |         51 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\Sab.h                                                    | C++              |        197 |          0 |         50 |        247 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\honban3.c                                                | C                |        914 |         50 |         41 |      1,005 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\2017_main3.c                                | C                |        152 |         14 |         31 |        197 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\Mc.c                                        | C                |         49 |          5 |         11 |         65 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\Mh.c                                        | C                |        155 |         13 |         22 |        190 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\S_UMX.h                                     | C++              |         74 |         13 |         20 |        107 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\cps_test.c                                  | C                |        138 |          2 |         31 |        171 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\DriverTemplate.h                    | C++              |         11 |         28 |          9 |         48 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\S_UMX.h                             | C++              |        107 |          2 |         25 |        134 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\benedettelli-nxt2wifi.h             | C++              |        603 |        327 |        140 |      1,070 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\codatech-rfid.h                     | C++              |        128 |        116 |         48 |        292 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-light.h                      | C++              |         46 |         37 |         17 |        100 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-mmux.h                       | C++              |         39 |         38 |         14 |         91 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-rs485.h                      | C++              |        143 |         89 |         50 |        282 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common.h                            | C++              |        437 |        170 |         82 |        689 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-compass.h                 | C++              |        218 |         96 |         59 |        373 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-dlight.h                  | C++              |         92 |         83 |         34 |        209 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-flex.h                    | C++              |        130 |         94 |         47 |        271 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-gps.h                     | C++              |         96 |         88 |         40 |        224 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-imu.h                     | C++              |        277 |        137 |         89 |        503 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-nxtchuck.h                | C++              |        202 |         68 |         50 |        320 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-pressure.h                | C++              |         35 |         76 |         30 |        141 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-temp.h                    | C++              |         46 |         58 |         23 |        127 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-thermalir.h               | C++              |         85 |         67 |         43 |        195 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-wifi.h                    | C++              |        337 |         89 |         81 |        507 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\eeprom.h                            | C++              |         43 |         61 |         26 |        130 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\firgelli-linearact-ramping.h        | C++              |        319 |        135 |         95 |        549 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\firgelli-linearact.h                | C++              |        216 |        122 |         70 |        408 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-accelerometer.h           | C++              |         54 |         67 |         27 |        148 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-angle.h                   | C++              |        117 |         89 |         54 |        260 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-barometer.h               | C++              |         52 |         63 |         27 |        142 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\hitechnic-colour-v1.h               | C++              |        138 |        115 |         63 |        316 |
