Date : 2025-06-08 21:28:26
Directory : c:\Users\sd23097\Desktop\Tirobot_works
Total : 207 files,  2714782 codes, 8153 comments, 22258 blanks, all 2745193 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\kantonatsurobo2023_omni.ino                       | C++      |        146 |         48 |         38 |        232 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\motor.cpp                                         | C++      |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\kantonatsurobo2023_omni-main\motor.hpp                                         | C++      |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\KantoNatu2023\multifunction.ino                                                              | C++      |        146 |         54 |         55 |        255 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\NHK_R1.ino                                                                    | C++      |        527 |         24 |         89 |        640 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\PID.cpp                                                                       | C++      |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\PID.h                                                                         | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\README.md                                                                     | Markdown |          4 |          0 |          0 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\rad_pid.cpp                                                                   | C++      |         38 |          0 |          8 |         46 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_R1\rad_pid.h                                                                     | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\NHK_rad_pid.ino                                                          | C++      |        224 |         22 |         44 |        290 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\PID.cpp                                                                  | C++      |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\PID.h                                                                    | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\README.md                                                                | Markdown |          3 |          0 |          1 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\motor.cpp                                                                | C++      |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\motor.hpp                                                                | C++      |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\rad_pid.cpp                                                              | C++      |         38 |          0 |          8 |         46 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rad_pid\rad_pid.h                                                                | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\NHK_rpm_pid.ino                                                          | C++      |        160 |         18 |         42 |        220 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\PID.cpp                                                                  | C++      |         34 |          0 |          6 |         40 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\PID.h                                                                    | C++      |         18 |          0 |          3 |         21 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\README.md                                                                | Markdown |          3 |          0 |          1 |          4 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\motor.cpp                                                                | C++      |         20 |          0 |          6 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\NHK_rpm_pid\motor.hpp                                                                | C++      |         19 |          0 |          3 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\README.md                                                         | Markdown |         20 |          0 |          7 |         27 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\README.md                                         | Markdown |          4 |          0 |          3 |          7 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera\__init__.py                           | Python   |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\ball_camera\detector.py                           | Python   |        108 |          0 |         24 |        132 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\config\params.yaml                                | YAML     |         10 |          0 |          1 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\launch\ball_camera.launch.py                      | Python   |         36 |          0 |          7 |         43 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\README.md                                  | Markdown |          7 |          0 |          3 |         10 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8l.pt                                 | XML      |  1,059,289 |          0 |      8,856 |  1,068,145 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8m.pt                                 | XML      |    520,050 |          0 |      4,022 |    524,072 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\models\yolov8n.pt                                 | XML      |     43,044 |          0 |        229 |     43,273 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\package.xml                                       | XML      |         21 |          0 |          5 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\setup.cfg                                         | Ini      |          4 |          0 |          1 |          5 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera\setup.py                                          | Python   |         27 |          0 |          4 |         31 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera_msgs\CMakeLists.txt                               | CMake    |         24 |          0 |          6 |         30 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\ball_camera_msgs\package.xml                                  | XML      |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\CMakeLists.txt                                       | CMake    |         87 |          0 |         15 |        102 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\config\params.yaml                                   | YAML     |         17 |          0 |          2 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\clusterer.h                         | C++      |         28 |          0 |         11 |         39 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\detector.h                          | C++      |         49 |          0 |         15 |         64 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\filter.h                            | C++      |         27 |          0 |          8 |         35 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\include\detector\visualizer.h                        | C++      |         14 |          0 |          6 |         20 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\package.xml                                          | XML      |         17 |          0 |          5 |         22 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\clusterer.cpp                                    | C++      |         34 |          0 |          8 |         42 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\detector.cpp                                     | C++      |        192 |          0 |         40 |        232 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\filter.cpp                                       | C++      |        215 |          4 |         29 |        248 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\detector_node.cpp                          | C++      |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\filter_node.cpp                            | C++      |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\nodes\visualizer_node.cpp                        | C++      |          8 |          0 |          3 |         11 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\detector\src\visualizer.cpp                                   | C++      |         65 |          0 |         11 |         76 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\CMakeLists.txt                                  | CMake    |         25 |          0 |          6 |         31 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\ball_camera.yaml                         | YAML     |         14 |          0 |          1 |         15 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\detector.yaml                            | YAML     |         17 |          0 |          2 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\config\merger.yaml                              | YAML     |         18 |          0 |          1 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\launch\obstacles_detection.launch.yaml          | YAML     |         36 |          0 |          7 |         43 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\launch_bundle\package.xml                                     | XML      |         15 |          0 |          4 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller\__init__.py                 | Python   |          0 |          0 |          1 |          1 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\lidar_controller\controller.py               | Python   |         41 |          0 |          9 |         50 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\package.xml                                  | XML      |         16 |          0 |          3 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\setup.cfg                                    | Ini      |          4 |          0 |          1 |          5 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\setup.py                                     | Python   |         23 |          0 |          3 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_copyright.py                       | Python   |          8 |         14 |          4 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_flake8.py                          | Python   |          9 |         13 |          4 |         26 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\lidar_controller\test\test_pep257.py                          | Python   |          7 |         13 |          4 |         24 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\CMakeLists.txt                                         | CMake    |         51 |          0 |          9 |         60 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\config\params.yaml                                     | YAML     |         18 |          0 |          1 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\include\merger\merger.h                                | C++      |         53 |          0 |         11 |         64 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\package.xml                                            | XML      |         15 |          0 |          4 |         19 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\merger\src\merger.cpp                                         | C++      |        117 |          0 |         33 |        150 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\obstacle_msgs\CMakeLists.txt                                  | CMake    |         27 |          0 |          6 |         33 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\obstacle_msgs\package.xml                                     | XML      |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\CMakeLists.txt                                  | CMake    |         39 |          0 |          8 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\arduino\arduino.ino                             | C++      |         48 |          0 |         13 |         61 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\include\serial_bridge\bridge.h                  | C++      |         49 |          0 |         13 |         62 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\package.xml                                     | XML      |         18 |          0 |          5 |         23 |
| c:\Users\sd23097\Desktop\Tirobot_works\NHK2024\gakurobo-ws-master\src\serial_bridge\src\bridge.cpp                                  | C++      |         84 |          0 |         16 |        100 |
| c:\Users\sd23097\Desktop\Tirobot_works\README.md                                                                                    | Markdown |          3 |          0 |          0 |          3 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\BunaiRobocon\ルール.md                                                                 | Markdown |         39 |          0 |          8 |         47 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\README.md                                                                     | Markdown |         11 |          0 |          3 |         14 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\main.ino                                                                 | C++      |         51 |          4 |         19 |         74 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\myBLEController.cpp                                                      | C++      |         86 |          1 |         29 |        116 |
| c:\Users\sd23097\Desktop\Tirobot_works\Training\Intro\main\myBLEController.h                                                        | C++      |         28 |         10 |         13 |         51 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\Sab.h                                               | C++      |        197 |          0 |         50 |        247 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\honban3.c                                           | C        |        914 |         50 |         41 |      1,005 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\2017_main3.c                           | C        |        152 |         14 |         31 |        197 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\Mc.c                                   | C        |         49 |          5 |         11 |         65 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\Mh.c                                   | C        |        155 |         13 |         22 |        190 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\S_UMX.h                                | C++      |         74 |         13 |         20 |        107 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\cps_test.c                             | C        |        138 |          2 |         31 |        171 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\DriverTemplate.h               | C++      |         11 |         28 |          9 |         48 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\S_UMX.h                        | C++      |        107 |          2 |         25 |        134 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\benedettelli-nxt2wifi.h        | C++      |        603 |        327 |        140 |      1,070 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\codatech-rfid.h                | C++      |        128 |        116 |         48 |        292 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-light.h                 | C++      |         46 |         37 |         17 |        100 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-mmux.h                  | C++      |         39 |         38 |         14 |         91 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common-rs485.h                 | C++      |        143 |         89 |         50 |        282 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\common.h                       | C++      |        437 |        170 |         82 |        689 |
| c:\Users\sd23097\Desktop\Tirobot_works\WRO2017\Lego-20250607T115704Z-1-001\Lego\robocup 2017\drivers\dexterind-compass.h            | C++      |        218 |         96 |         59 |        373 |
